Date,CN,Sales
1/6/2017,213369,45792
1/6/2017,213370,26250
1/6/2017,213371,19023.2
1/6/2017,213372,6696
1/6/2017,213373,9206
1/6/2017,213374,2113.65
1/6/2017,213375,437841.6
1/6/2017,213376,13680
1/6/2017,213377,7380
1/6/2017,213378,26928
1/6/2017,213379,9072
1/6/2017,213380,35350.1
1/6/2017,213381,11243.9
1/6/2017,213382,4252
1/6/2017,213383,6818.4
1/6/2017,213384,8794
1/6/2017,213385,1641.1
1/6/2017,213386,17280
1/6/2017,213387,44000
1/7/2017,213388,141592
1/7/2017,213389,237350
1/7/2017,213390,224843.2
1/7/2017,213391,104622.4
1/7/2017,213392,209884.64
1/7/2017,213393,11362.08
1/7/2017,213394,3900
1/7/2017,213395,57580
1/7/2017,213396,1368
1/7/2017,213397,1046737.6
1/7/2017,213398,88516.8
1/7/2017,213399,471.48
1/7/2017,213400,51.32
1/7/2017,213401,68544
1/7/2017,213402,1261.14
1/7/2017,213403,115920
1/7/2017,213404,84240
1/7/2017,213405,530160
1/7/2017,213406,282216
1/7/2017,213407,403012
1/7/2017,213408,67680
1/7/2017,213409,8460
1/7/2017,213410,55744.93
1/7/2017,213411,12382.5
1/7/2017,213412,67200
1/7/2017,213413,107500
1/7/2017,213414,53760
1/7/2017,213415,119969.6
1/7/2017,213416,4435.2
1/7/2017,213417,552
1/7/2017,213418,13897
1/7/2017,213419,35147.52
1/7/2017,213420,5026.2
1/7/2017,213421,17100.8
1/7/2017,213422,260
1/7/2017,213423,5105.7
1/7/2017,213424,7456.32
1/7/2017,213425,52473.6
1/7/2017,213426,5472
1/7/2017,213427,66469
1/7/2017,213428,29634
1/9/2017,213429,393751.2
1/9/2017,213430,213720
1/9/2017,213431,85536
1/9/2017,213432,342120
1/9/2017,213433,2820
1/9/2017,213434,46080
1/9/2017,213435,63000
1/9/2017,213436,371097.6
1/9/2017,213437,6660.7
1/9/2017,213438,22176
1/9/2017,213439,21582
1/9/2017,213440,17784.76
1/9/2017,213441,31172.8
1/9/2017,213442,4987.6
1/9/2017,213443,291
1/9/2017,213444,6556
1/9/2017,213445,2640
1/9/2017,213446,266
1/9/2017,213447,700
1/9/2017,213448,27000
1/9/2017,213449,1291.85
1/9/2017,213450,1466.28
1/9/2017,213451,2591
1/9/2017,213452,1525
1/9/2017,213453,1151.8
1/9/2017,213454,237.61
1/9/2017,213455,320
1/9/2017,213456,1850
1/9/2017,213457,463.8
1/9/2017,213458,790.59
1/9/2017,213459,48000
1/9/2017,213460,16796
1/9/2017,213461,62.5
1/9/2017,213462,52587.48
1/9/2017,213463,43768.2
1/9/2017,213464,5843.5
1/9/2017,213465,260
1/9/2017,213466,13202
1/9/2017,213467,12615.16
1/9/2017,213468,130
1/9/2017,213469,4950
1/9/2017,213470,20876.4
1/9/2017,213471,388
1/9/2017,213472,5746.22
1/9/2017,213473,3643.35
1/9/2017,213474,3308.25
1/9/2017,213475,697.41
1/9/2017,213476,38
1/9/2017,213477,15470.5
1/9/2017,213478,8398.2
1/9/2017,213479,95940
1/9/2017,213480,13691.2
1/9/2017,213483,1548
1/9/2017,213484,29660.9
1/9/2017,213485,153316
1/9/2017,213486,3369.6
1/10/2017,213487,13903.4
1/10/2017,213488,245
1/10/2017,213489,65
1/10/2017,213490,1050
1/10/2017,213491,50549.06
1/10/2017,213492,46471.2
1/10/2017,213493,52530.64
1/10/2017,213494,23045.8
1/10/2017,213495,80060.5
1/10/2017,213496,97000
1/10/2017,213497,260
1/10/2017,213498,144199.2
1/10/2017,213499,8778
1/10/2017,213500,10791
1/10/2017,213501,68286
1/10/2017,213502,3768.5
1/10/2017,213503,9094
1/10/2017,213505,8180
1/10/2017,213506,151200
1/10/2017,213507,52700
1/10/2017,213508,15530
1/10/2017,213509,11923.2
1/10/2017,213510,24895
1/10/2017,213511,5516.16
1/10/2017,213512,5150
1/10/2017,213513,9014.4
1/10/2017,213514,17416.8
1/10/2017,213515,1560
1/10/2017,213516,60742.8
1/10/2017,213517,13152
1/10/2017,213518,37576.8
1/10/2017,213519,342.4
1/10/2017,213520,1612.57
1/10/2017,213521,228
1/10/2017,213522,14400
1/10/2017,213523,145500
1/10/2017,213524,9600
1/10/2017,213525,14400
1/10/2017,213526,9600
1/10/2017,213527,21916.8
1/10/2017,213528,9800
1/10/2017,213529,31575
1/10/2017,213530,613705.25
1/10/2017,213531,2086
1/10/2017,213532,2479.4
1/10/2017,213533,3123.89
1/10/2017,213534,1261.72
1/10/2017,213535,38
1/10/2017,213536,3148.52
1/10/2017,213537,1600.6
1/10/2017,213538,27926.1
1/10/2017,213539,23456.4
1/10/2017,213540,8870.4
1/11/2017,213541,307.07
1/11/2017,213542,56609.92
1/11/2017,213543,12996
1/11/2017,213544,1278
1/11/2017,213545,56960
1/11/2017,213546,22576
1/11/2017,213547,678744.5
1/11/2017,213548,81755.5
1/11/2017,213549,10673
1/11/2017,213550,50292
1/11/2017,213551,4090
1/11/2017,213552,1900
1/11/2017,213553,47457.5
1/11/2017,213554,102520
1/11/2017,213555,828
1/11/2017,213556,13802.4
1/11/2017,213557,248946
1/11/2017,213558,269280
1/11/2017,213559,621
1/11/2017,213560,177.42
1/11/2017,213561,64750
1/11/2017,213562,13756.8
1/11/2017,213563,168844.2
1/11/2017,213564,133708.36
1/11/2017,213565,8668
1/11/2017,213566,1230
1/11/2017,213568,6696
1/11/2017,213569,16670
1/11/2017,213570,18877.2
1/11/2017,213571,91999.8
1/11/2017,213572,25674
1/11/2017,213573,2222
1/11/2017,213574,53
1/11/2017,213575,17524.8
1/11/2017,213576,15168.24
1/11/2017,213577,21553.4
1/11/2017,213578,22187.5
1/11/2017,213579,169
1/11/2017,213580,2781.3
1/11/2017,213581,164080
1/11/2017,213582,8071.24
1/11/2017,213583,225004.4
1/11/2017,213584,226251.82
1/11/2017,213585,61000
1/11/2017,213586,38592
1/11/2017,213587,110000
1/11/2017,213588,2700
1/11/2017,213589,24435.2
1/11/2017,213590,1900
1/11/2017,213591,12381.2
1/11/2017,213592,7380
1/11/2017,213593,19872
1/11/2017,213594,4183.2
1/11/2017,213595,18546.8
1/11/2017,213596,2400
1/11/2017,213597,29157.6
1/11/2017,213598,86940
1/11/2017,213599,12640
1/11/2017,213600,14356.8
1/12/2017,213601,86
1/12/2017,213602,147830.4
1/12/2017,213603,1095.42
1/12/2017,213604,276
1/12/2017,213605,17180.4
1/12/2017,213606,11837.76
1/12/2017,213607,9815
1/12/2017,213608,41725.4
1/12/2017,213609,661.85
1/12/2017,213610,35568
1/12/2017,213611,252764
1/12/2017,213612,5031
1/12/2017,213613,1208.6
1/12/2017,213614,182.5
1/12/2017,213615,305
1/12/2017,213616,4700
1/12/2017,213617,650
1/12/2017,213618,98212
1/12/2017,213619,15861.6
1/12/2017,213620,730
1/12/2017,213621,45374.4
1/12/2017,213622,2345
1/12/2017,213623,760
1/12/2017,213624,55.5
1/12/2017,213625,6939.36
1/12/2017,213626,44145
1/12/2017,213627,40932
1/12/2017,213628,141510
1/12/2017,213629,147288
1/12/2017,213630,195
1/12/2017,213631,38
1/12/2017,213632,1134
1/12/2017,213633,446.5
1/12/2017,213634,3506.5
1/12/2017,213635,1001
1/12/2017,213636,3135
1/12/2017,213637,88615.92
1/12/2017,213638,10990
1/12/2017,213639,44960
1/12/2017,213640,10950
1/12/2017,213641,185320
1/12/2017,213642,18500
1/12/2017,213643,9250
1/12/2017,213644,16560
1/12/2017,213645,1950
1/12/2017,213646,10003
1/12/2017,213647,33
1/12/2017,213648,3312
1/12/2017,213649,9648.4
1/13/2017,213650,6464
1/13/2017,213651,97000
1/13/2017,213652,37500
1/13/2017,213653,210000
1/13/2017,213654,5400
1/13/2017,213655,115.2
1/13/2017,213656,38500
1/13/2017,213657,4256
1/13/2017,213658,11574.1
1/13/2017,213659,18806.4
1/13/2017,213660,28716
1/13/2017,213661,2100
1/13/2017,213662,4700.4
1/13/2017,213663,13584
1/13/2017,213664,79
1/13/2017,213665,26525
1/13/2017,213666,19680
1/13/2017,213667,67200
1/13/2017,213668,50707.36
1/13/2017,213669,275456
1/13/2017,213670,207764
1/13/2017,213671,1800
1/13/2017,213672,114
1/13/2017,213673,850
1/13/2017,213674,10144.8
1/13/2017,213675,21980
1/13/2017,213676,1699.2
1/13/2017,213677,457.5
1/13/2017,213679,97000
1/13/2017,213680,123350.4
1/13/2017,213681,19440
1/13/2017,213682,8495
1/13/2017,213683,588
1/13/2017,213684,99
1/13/2017,213685,750
1/13/2017,213686,10200
1/13/2017,213687,63504
1/13/2017,213688,2736
1/13/2017,213689,80
1/13/2017,213690,1047.5
1/13/2017,213691,30528
1/13/2017,213692,189268.8
1/13/2017,213693,46
1/13/2017,213694,27262.05
1/13/2017,213695,16831.18
1/13/2017,213696,8045.5
1/13/2017,213697,29998.4
1/13/2017,213698,50874.4
1/13/2017,213699,87300
1/13/2017,213700,67200
1/13/2017,213701,12597.2
1/13/2017,213702,9040
1/13/2017,213703,2025
1/13/2017,213704,2907.2
1/13/2017,213705,3002
1/13/2017,213706,4550
1/14/2017,213707,5004
1/14/2017,213708,41772.4
1/14/2017,213709,4478
1/14/2017,213710,13233.6
1/14/2017,213711,295.66
1/14/2017,213712,5801.1
1/14/2017,213713,160
1/14/2017,213714,2488.2
1/14/2017,213715,2174
1/14/2017,213716,2280.65
1/14/2017,213717,30211.2
1/14/2017,213718,4028
1/14/2017,213719,4676
1/14/2017,213720,102
1/14/2017,213721,156.53
1/14/2017,213722,29328
1/14/2017,213723,900
1/14/2017,213724,9712.74
1/14/2017,213725,7803
1/14/2017,213726,750
1/14/2017,213727,135576
1/14/2017,213728,390816
1/14/2017,213729,379980
1/14/2017,213730,188740.8
1/14/2017,213731,395652
1/14/2017,213732,455032
1/14/2017,213733,233280
1/14/2017,213734,190
1/14/2017,213735,7914.5
1/14/2017,213736,65880
1/14/2017,213737,239400
1/14/2017,213738,530224
1/16/2017,213739,27282
1/16/2017,213740,262432.2
1/16/2017,213741,218000
1/16/2017,213742,27100.8
1/16/2017,213743,3520.5
1/16/2017,213744,484.25
1/16/2017,213745,3928.9
1/16/2017,213746,2056.86
1/16/2017,213747,76
1/16/2017,213748,2278
1/16/2017,213749,18529.8
1/16/2017,213750,4795.2
1/16/2017,213751,18.2
1/16/2017,213752,16626.4
1/16/2017,213753,67200
1/16/2017,213754,109.2
1/16/2017,213755,18615
1/16/2017,213756,109440
1/16/2017,213757,59331
1/16/2017,213758,257721
1/16/2017,213759,95000
1/16/2017,213760,2087.1
1/16/2017,213761,79884
1/16/2017,213762,142.65
1/16/2017,213763,1040
1/16/2017,213764,49777.76
1/16/2017,213765,41280
1/16/2017,213766,25650
1/16/2017,213767,81.52
1/16/2017,213768,65520
1/16/2017,213769,115920
1/16/2017,213771,48.5
1/16/2017,213772,229561.1
1/16/2017,213773,66541.88
1/16/2017,213774,26624
1/16/2017,213775,17642.64
1/16/2017,213776,793.68
1/16/2017,213777,14950
1/16/2017,213778,52485
1/16/2017,213779,1786
1/16/2017,213780,3912.4
1/16/2017,213781,138360
1/16/2017,213782,39088
1/16/2017,213784,13116
1/16/2017,213785,13298.5
1/16/2017,213786,7437.95
1/16/2017,213787,6947.58
1/16/2017,213788,10237.46
1/16/2017,213789,1265
1/16/2017,213790,276
1/16/2017,213791,9619.2
1/16/2017,213792,2545
1/16/2017,213793,32809.12
1/16/2017,213794,4654.5
1/16/2017,213795,400
1/16/2017,213796,100118.4
1/16/2017,213797,391620
1/16/2017,213798,46480.32
1/16/2017,213799,20270.24
1/16/2017,213800,18450
1/16/2017,213801,20330
1/16/2017,213802,16085.8
1/16/2017,213803,5750
1/16/2017,213804,4850
1/16/2017,213805,7344
1/17/2017,213806,24933.6
1/17/2017,213807,14016
1/17/2017,213808,12816
1/17/2017,213809,582.5
1/17/2017,213810,24447.8
1/17/2017,213811,13211
1/17/2017,213812,62946
1/17/2017,213813,11592
1/17/2017,213814,150018.84
1/17/2017,213816,21840
1/17/2017,213817,78399.68
1/17/2017,213818,140376.8
1/17/2017,213820,138240
1/17/2017,213821,76003.2
1/17/2017,213822,2572.15
1/17/2017,213823,11185.17
1/17/2017,213824,25750
1/17/2017,213825,322840
1/17/2017,213826,11
1/17/2017,213827,223.37
1/17/2017,213828,19840
1/17/2017,213829,615755.2
1/17/2017,213830,14813
1/17/2017,213831,13150
1/17/2017,213832,202245
1/17/2017,213833,42398.4
1/17/2017,213834,55.5
1/17/2017,213835,111
1/17/2017,213836,18378
1/17/2017,213837,7974.4
1/17/2017,213838,1230
1/17/2017,213839,19870
1/17/2017,213840,1163.3
1/17/2017,213841,37440
1/17/2017,213842,269962.8
1/17/2017,213843,975.5
1/17/2017,213844,169146
1/17/2017,213845,50110.4
1/17/2017,213846,5200
1/17/2017,213847,98208
1/17/2017,213848,240486.6
1/17/2017,213849,66960
1/17/2017,213850,13360
1/17/2017,213851,9052.4
1/17/2017,213852,70227.6
1/17/2017,213853,2600
1/17/2017,213854,46
1/17/2017,213855,41277.6
1/17/2017,213856,15246.5
1/17/2017,213857,29016
1/17/2017,213858,2662500
1/17/2017,213859,17280
1/17/2017,213860,18144
1/17/2017,213861,7416
1/17/2017,213862,27089.1
1/17/2017,213863,4939
1/17/2017,213864,14595.5
1/17/2017,213865,62640
1/17/2017,213866,14604.5
1/17/2017,213867,2653.55
1/17/2017,213868,26216.64
1/17/2017,213869,75444
1/17/2017,213870,5328
1/17/2017,213871,9293
1/17/2017,213872,177927.92
1/17/2017,213873,85765.9
1/17/2017,213875,13939.2
1/17/2017,213876,5180
1/17/2017,213877,834
1/17/2017,213878,1400
1/17/2017,213879,8250
1/18/2017,213880,11858.4
1/18/2017,213881,1209.56
1/18/2017,213882,12850
1/18/2017,213883,8139.3
1/18/2017,213884,1168.5
1/18/2017,213885,12066.1
1/18/2017,213886,8656
1/18/2017,213887,5607.5
1/18/2017,213888,5182.3
1/18/2017,213889,9926.94
1/18/2017,213890,11272.8
1/18/2017,213891,701.9
1/18/2017,213892,3942.9
1/18/2017,213893,45480
1/18/2017,213894,10800
1/18/2017,213895,19275
1/18/2017,213896,475000
1/18/2017,213897,75243.96
1/18/2017,213898,1296
1/18/2017,213899,17640
1/18/2017,213900,40.2
1/18/2017,213901,26386
1/18/2017,213902,22686.84
1/18/2017,213903,18184
1/18/2017,213904,6480
1/18/2017,213905,177000
1/18/2017,213906,69804
1/18/2017,213907,7991
1/18/2017,213908,920
1/18/2017,213909,365
1/18/2017,213910,150
1/18/2017,213911,365
1/18/2017,213912,330
1/18/2017,213913,330
1/18/2017,213914,1366.48
1/18/2017,213915,15480
1/18/2017,213916,38765.72
1/18/2017,213917,67239.3
1/18/2017,213918,9000
1/18/2017,213919,36503
1/18/2017,213920,39
1/18/2017,213921,265556.92
1/18/2017,213922,177930.28
1/18/2017,213923,119764.8
1/18/2017,213924,1782
1/18/2017,213925,788.03
1/18/2017,213926,19500
1/18/2017,213927,38525
1/18/2017,213928,44640
1/18/2017,213929,16600
1/18/2017,213930,37400
1/18/2017,213931,28.75
1/18/2017,213932,20894.88
1/18/2017,213933,56955
1/18/2017,213934,5665
1/18/2017,213935,1230
1/18/2017,213936,37000
1/19/2017,213937,37000
1/19/2017,213938,63034.55
1/19/2017,213939,35858.45
1/19/2017,213940,17456.9
1/19/2017,213941,2600.6
1/19/2017,213942,46
1/19/2017,213943,543999.28
1/19/2017,213944,45361.92
1/19/2017,213945,2655
1/19/2017,213946,38294.32
1/19/2017,213947,1418.7
1/19/2017,213948,101.75
1/19/2017,213949,6011.88
1/19/2017,213950,21703
1/19/2017,213951,3109.51
1/19/2017,213952,1222.85
1/19/2017,213953,2040
1/19/2017,213954,3212.04
1/19/2017,213955,285.35
1/19/2017,213956,47433.6
1/19/2017,213957,535.8
1/19/2017,213958,38378.56
1/19/2017,213959,267.6
1/19/2017,213960,214416
1/19/2017,213961,183015.28
1/19/2017,213962,59364
1/19/2017,213963,61766.2
1/19/2017,213964,16041.5
1/19/2017,213966,898560
1/19/2017,213970,43848
1/19/2017,213971,2725
1/19/2017,213972,2816.1
1/19/2017,213973,101900.4
1/19/2017,213974,2544.9
1/19/2017,213975,5114.4
1/19/2017,213976,32022.8
1/19/2017,213977,2126
1/19/2017,213978,306
1/19/2017,213979,148214
1/19/2017,213980,3800
1/19/2017,213981,88560
1/19/2017,213982,1166
1/19/2017,213983,84477.6
1/19/2017,213984,6480
1/19/2017,213985,4406.4
1/19/2017,213986,26676
1/19/2017,213987,64656
1/19/2017,213988,6500
1/19/2017,213989,13824
1/19/2017,213990,121852.8
1/19/2017,213991,67200
1/19/2017,213992,67536
1/19/2017,213993,158200
1/19/2017,213994,84579.6
1/19/2017,213995,10008
1/19/2017,213997,3113.5
1/20/2017,213998,3247.2
1/20/2017,213999,6525
1/20/2017,214000,11858.6
1/20/2017,214001,44280
1/20/2017,214002,1440
1/20/2017,214003,101895
1/20/2017,214004,23384
1/20/2017,214005,8679.3
1/20/2017,214006,11782.54
1/20/2017,214007,985.2
1/20/2017,214008,13397.4
1/20/2017,214009,22498
1/20/2017,214010,940
1/20/2017,214011,20378
1/20/2017,214012,208
1/20/2017,214013,176543.2
1/20/2017,214014,37800
1/20/2017,214015,57.07
1/20/2017,214016,50174
1/20/2017,214017,99674.4
1/20/2017,214018,216517.2
1/20/2017,214019,69400.2
1/20/2017,214020,5450
1/20/2017,214021,57070
1/20/2017,214022,319499.24
1/20/2017,214023,127928
1/20/2017,214024,1050
1/20/2017,214025,52157.5
1/20/2017,214026,21.5
1/20/2017,214027,115116
1/20/2017,214028,11
1/20/2017,214029,3816
1/20/2017,214030,480
1/21/2017,214031,20848
1/21/2017,214032,102
1/21/2017,214033,741.28
1/21/2017,214034,3386
1/21/2017,214035,33191.77
1/21/2017,214036,14933.56
1/21/2017,214037,603.36
1/21/2017,214038,3386
1/21/2017,214039,255
1/21/2017,214040,57.07
1/21/2017,214041,25560
1/21/2017,214042,26058.02
1/21/2017,214043,40396.51
1/21/2017,214044,5143.32
1/21/2017,214045,2702
1/21/2017,214046,33191.77
1/21/2017,214047,140.5
1/21/2017,214048,57.5
1/21/2017,214049,38406.08
1/21/2017,214050,3852
1/21/2017,214051,2702
1/21/2017,214052,40391.77
1/21/2017,214053,1482
1/21/2017,214054,65198.96
1/21/2017,214055,11556
1/21/2017,214056,281797.8
1/21/2017,214057,133403
1/21/2017,214058,222.82
1/21/2017,214059,152
1/21/2017,214060,660
1/21/2017,214061,160000
1/21/2017,214062,8059.6
1/21/2017,214063,13019.6
1/21/2017,214064,20715.8
1/21/2017,214065,62192.8
1/21/2017,214066,6350
1/21/2017,214067,3720.8
1/21/2017,214068,4250
1/21/2017,214069,20520
1/21/2017,214070,41040
1/21/2017,214071,1504
1/23/2017,214072,216424.8
1/23/2017,214073,264820.8
1/23/2017,214074,105120
1/23/2017,214075,4100
1/23/2017,214076,2623.5
1/23/2017,214077,533.69
1/23/2017,214079,720
1/23/2017,214080,8750
1/23/2017,214081,7440
1/23/2017,214082,9655.8
1/23/2017,214083,41304.86
1/23/2017,214084,1900
1/23/2017,214085,1337.13
1/23/2017,214086,27800
1/23/2017,214087,66352
1/23/2017,214088,5001.6
1/23/2017,214089,873.46
1/23/2017,214090,177.2
1/23/2017,214091,7885
1/23/2017,214092,4960
1/23/2017,214093,109268
1/23/2017,214094,19250
1/23/2017,214095,1010
1/23/2017,214096,30520.32
1/23/2017,214097,63402.3
1/23/2017,214098,97000
1/23/2017,214099,39600
1/23/2017,214100,41630
1/23/2017,214101,3177
1/23/2017,214102,28203.4
1/23/2017,214103,19250
1/23/2017,214104,196955
1/23/2017,214105,11508.72
1/23/2017,214106,29310
1/23/2017,214107,54164
1/23/2017,214108,1201.2
1/23/2017,214109,172500
1/23/2017,214110,6933.6
1/23/2017,214111,146.73
1/23/2017,214112,6696
1/23/2017,214113,49680
1/23/2017,214114,23068.8
1/23/2017,214115,28756.8
1/24/2017,214116,96354
1/24/2017,214117,170375
1/24/2017,214118,4540.32
1/24/2017,214119,6977.8
1/24/2017,214120,135940
1/24/2017,214121,398.38
1/24/2017,214122,510
1/24/2017,214123,944
1/24/2017,214124,3231.36
1/24/2017,214125,32128
1/24/2017,214126,2370
1/24/2017,214127,365
1/24/2017,214128,330
1/24/2017,214129,1246
1/24/2017,214130,228
1/24/2017,214131,2350
1/24/2017,214132,57519.2
1/24/2017,214133,41.3
1/24/2017,214134,12068
1/24/2017,214135,136902.4
1/24/2017,214136,46250.56
1/24/2017,214137,78624
1/24/2017,214138,1458.72
1/24/2017,214139,4358.1
1/24/2017,214140,1540
1/24/2017,214141,21243.6
1/24/2017,214142,2878
1/24/2017,214143,1352.4
1/24/2017,214144,121000
1/24/2017,214145,91943.2
1/24/2017,214146,70800
1/24/2017,214147,101993.48
1/24/2017,214148,22449.6
1/24/2017,214149,2538
1/24/2017,214150,81171.6
1/24/2017,214151,46
1/24/2017,214152,9698.9
1/24/2017,214153,56755.44
1/24/2017,214154,95904
1/24/2017,214155,43555.2
1/24/2017,214156,666
1/24/2017,214157,41040
1/25/2017,214158,17136
1/25/2017,214159,15500
1/25/2017,214160,29261.4
1/25/2017,214161,37816
